movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,21-Dec-37,Musical,G,184925485.00,5228953251.00
Pinocchio,9-Feb-40,Adventure,G,84300000.00,2188229052.00
Fantasia,13-Nov-40,Musical,G,83320000.00,2187090808.00
Song of the South,12-Nov-46,Adventure,G,65000000.00,1078510579.00
Cinderella,15-Feb-50,Drama,G,85000000.00,920608730.00
"20,000 Leagues Under the Sea",23-Dec-54,Adventure,,28200000.00,528279994.00
Lady and the Tramp,22-Jun-55,Drama,G,93600000.00,1236035515.00
Sleeping Beauty,29-Jan-59,Drama,,9464608.00,21505832.00
101 Dalmatians,25-Jan-61,Comedy,G,153000000.00,1362870985.00
The Absent Minded Professor,16-Mar-61,Comedy,,25381407.00,310094574.00
Babes in Toyland,14-Dec-61,Musical,G,10218316.00,124841160.00
Bon Voyage!,17-May-62,Comedy,Not Rated,9230769.00,109581646.00
The Sword in the Stone,25-Dec-63,Adventure,,22182353.00,153870834.00
The Jungle Book,18-Oct-67,Musical,Not Rated,141843000.00,789612346.00
Blackbeard's Ghost,8-Feb-68,Comedy,,21540050.00,138612686.00
The Aristocats,24-Apr-70,Musical,G,55675257.00,255161499.00
The Boatniks,1-Jul-70,Comedy,,18607492.00,101200742.00
Bedknobs and Broomsticks,7-Oct-71,Musical,,17871174.00,91305448.00
The Apple Dumpling Gang,1-Jul-75,Comedy,,31916500.00,131246872.00
Freaky Friday,21-Jan-77,Comedy,,25942000.00,98067733.00
The Many Adventures of Winnie the Pooh,11-Mar-77,,,0.00,0.00
The Rescuers,22-Jun-77,Adventure,,48775599.00,159743914.00
Herbie Goes to Monte Carlo,24-Jun-77,,,28000000.00,105847527.00
The Black Hole,21-Dec-79,,,35841901.00,120377374.00
Midnight Madness,8-Feb-80,,,2900000.00,9088096.00
The Last Flight of Noah’s Ark,25-Jun-80,,,11000000.00,34472116.00
The Devil and Max Devlin,1-Jan-81,,,16000000.00,48517980.00
Amy,20-Mar-81,Drama,,0.00,0.00
The Fox and the Hound,10-Jul-81,Comedy,,43899231.00,133118889.00
Condorman,7-Aug-81,Action,,0.00,0.00
Night Crossing,5-Feb-82,Drama,,4500000.00,12903059.00
Tron,9-Jul-82,Action,,26918576.00,77184895.00
Tex,19-Nov-82,Drama,,7199408.00,20643199.00
Trenchcoat,11-Mar-83,Comedy,,4304286.00,11519089.00
Something Wicked This Way Comes,29-Apr-83,Horror,,5656087.00,15136765.00
Never Cry Wolf,7-Oct-83,Drama,,27668764.00,70669955.00
Running Brave,4-Nov-83,Drama,,1204595.00,3223725.00
Splash,9-Mar-84,Comedy,PG,62599495.00,157057661.00
Country,29-Sep-84,Drama,,8400000.00,21075000.00
Baby: Secret of the Lost Legend,22-Mar-85,Adventure,,14276095.00,33900697.00
Return to Oz,21-Jun-85,Adventure,,10618813.00,25215934.00
